cell	umap1	umap2
cell_0	12.815239	10.924154
cell_1	15.045142	10.946535
cell_10	0.6732095	5.612355
cell_100	-0.1313732	5.724038
cell_101	-1.5726352	8.45378
cell_102	13.543416	8.860737
cell_103	-2.1611414	8.555756
cell_104	12.720343	11.863185
cell_105	1.072226	4.8101206
cell_106	-0.46944293	8.592545
cell_107	-2.448263	7.3095922
cell_108	13.988265	9.863123
cell_109	13.6307125	11.211303
cell_11	-1.0304362	6.222614
cell_110	-1.3891804	7.0690966
cell_111	-1.4929453	8.609826
cell_112	0.31304967	3.4614048
cell_113	14.707382	8.992883
cell_114	14.348351	11.978435
cell_115	13.959201	10.9711275
cell_116	4.1796007	3.9510458
cell_117	3.793451	4.113377
cell_118	-0.07488366	7.7960496
cell_119	-0.30673105	8.345063
cell_12	13.945723	10.489752
cell_120	-1.0474751	8.957183
cell_121	14.0384445	11.828078
cell_122	13.896958	12.272148
cell_123	-2.203126	8.897087
cell_124	14.118977	10.049696
cell_125	13.271399	10.673525
cell_126	-3.0247653	8.104583
cell_127	-3.1383085	7.588521
cell_128	15.307931	8.12609
cell_129	-0.8542469	5.115662
cell_13	-2.633922	8.093475
cell_130	-3.198578	7.6061187
cell_131	-0.42010745	5.0369
cell_132	0.09374876	5.1350675
cell_133	-0.34771568	5.5503116
cell_134	-0.24584015	7.6972184
cell_135	-1.5000025	7.169233
cell_136	13.655843	12.159012
cell_137	14.913059	11.493533
cell_138	0.011742907	5.894262
cell_139	-0.6436417	7.878575
cell_14	-0.78345597	7.9858603
cell_140	13.330073	11.448635
cell_141	13.672034	11.804443
cell_142	3.0253563	4.253755
cell_143	12.914834	11.312282
cell_144	14.505649	10.105396
cell_145	0.26990065	3.7857513
cell_146	13.418702	10.855723
cell_147	0.55440557	3.8860838
cell_148	-0.9660456	8.871337
cell_149	14.814658	11.137804
cell_15	-2.4139285	7.8021774
cell_150	-0.031664044	4.4195905
cell_151	-2.665589	8.10715
cell_152	1.17793	4.5559607
cell_153	13.478898	11.282754
cell_154	-1.1202581	7.6686153
cell_155	-1.3582603	8.701458
cell_156	3.4569564	4.114387
cell_157	-2.023101	7.229011
cell_158	-1.3250818	9.030059
cell_159	-2.2575617	8.785623
cell_16	13.951812	10.499508
cell_160	15.203727	7.587794
cell_161	14.215292	11.52052
cell_162	0.45293528	5.34676
cell_163	-2.0627818	7.4960036
cell_164	-0.30596316	6.5225644
cell_165	0.5561201	5.283675
cell_166	-1.7892655	7.8645616
cell_167	14.608845	11.862921
cell_168	15.169472	7.862688
cell_169	-0.2886646	6.364837
cell_17	0.20596875	5.7596416
cell_170	14.323644	11.472632
cell_171	14.108691	10.762437
cell_172	13.687131	11.940487
cell_173	-0.8322744	4.8434486
cell_174	13.527536	10.437728
cell_175	14.865755	8.22272
cell_176	-2.47052	8.320307
cell_177	-2.2455978	7.515844
cell_178	15.323278	8.112974
cell_179	-0.12737317	4.358519
cell_18	-1.1333272	5.067577
cell_180	-0.5753409	4.7735076
cell_181	-0.78061205	4.8891754
cell_182	15.166051	7.863834
cell_183	14.289498	11.88063
cell_184	13.978459	9.428727
cell_185	12.710151	10.765248
cell_186	-0.30089593	7.452811
cell_187	14.529034	9.439017
cell_188	13.833254	10.371049
cell_189	13.467064	9.939714
cell_19	-1.4411408	7.932781
cell_190	3.2660854	4.4845433
cell_191	-0.90749127	8.927128
cell_192	-1.3344138	8.680166
cell_193	-0.03347721	6.3224206
cell_194	-2.181583	7.9342
cell_195	-2.4769244	8.247427
cell_196	15.173803	7.658269
cell_197	14.2739105	12.023873
cell_198	-0.32713407	5.616121
cell_199	-1.8959767	7.6618056
cell_2	12.766338	11.06139
cell_20	-0.9354993	5.150367
cell_200	15.299466	7.9014134
cell_201	0.38233432	4.621126
cell_202	1.2583483	4.6078978
cell_203	13.94711	12.075384
cell_204	-1.7222097	7.0405345
cell_205	-0.6902551	6.030892
cell_206	-1.9030143	7.9747343
cell_207	13.325519	11.408877
cell_208	13.606736	8.469458
cell_209	13.553674	11.199032
cell_21	0.104914695	5.546887
cell_210	-0.04132775	4.8485346
cell_211	-0.250623	5.532692
cell_212	-1.3890747	7.531683
cell_213	-0.09418315	7.346944
cell_214	0.11590459	4.378662
cell_215	-0.36057007	7.5262065
cell_216	14.557162	11.638884
cell_217	0.24895975	5.7015724
cell_218	-0.20671862	4.739974
cell_219	0.47101465	4.3761992
cell_22	0.30385047	5.758912
cell_220	0.78441256	5.408186
cell_221	-1.382109	7.3078628
cell_222	0.18465078	3.7546942
cell_223	13.570188	11.260988
cell_224	13.352411	12.173378
cell_225	0.6809108	5.0403504
cell_226	-2.1248283	9.164971
cell_227	-0.9109365	6.8117304
cell_228	13.847591	8.368777
cell_229	14.050029	11.874913
cell_23	3.341488	4.215622
cell_230	3.6937861	3.9190915
cell_231	14.178084	10.068562
cell_232	13.50602	11.972551
cell_233	-0.040456083	4.426241
cell_234	-0.6731709	7.1937294
cell_235	-0.90855974	8.836969
cell_236	14.165018	11.782416
cell_237	0.7224947	5.0825086
cell_238	13.205158	11.84149
cell_239	12.78478	11.127722
cell_24	12.724912	11.1023855
cell_240	13.328883	11.191075
cell_241	-0.014463782	5.4961424
cell_242	-1.4426476	7.989332
cell_243	-0.5931324	4.582159
cell_244	-0.6761244	7.6031833
cell_245	13.933734	12.2759905
cell_246	14.0736885	10.012467
cell_247	13.961838	11.130075
cell_248	14.281489	10.723271
cell_249	13.3389225	11.776201
cell_25	4.039757	4.045361
cell_250	-1.1068007	7.3875537
cell_251	-0.6493927	5.6213913
cell_252	-0.13651477	7.8007083
cell_253	14.6174755	9.769965
cell_254	14.944046	7.655037
cell_255	13.166623	11.952962
cell_256	0.29054072	4.2557683
cell_257	-1.6827528	9.031913
cell_258	15.41241	8.07997
cell_259	0.16870895	5.2749925
cell_26	-1.9655434	8.525118
cell_260	0.785787	5.2911687
cell_261	15.3132715	7.8286457
cell_262	14.9310465	11.468163
cell_263	-1.953044	7.1435347
cell_264	12.69859	10.606937
cell_265	-2.6278207	8.171805
cell_266	12.621205	11.610961
cell_267	13.852636	11.535428
cell_268	13.19072	11.372053
cell_269	13.072624	11.589913
cell_27	14.172928	11.525326
cell_270	-0.6470794	7.652158
cell_271	-0.43195397	7.7084637
cell_272	-1.8893874	8.613763
cell_273	14.034482	10.549222
cell_274	-2.081133	9.052692
cell_275	3.5034084	4.2121315
cell_276	-2.5146606	7.676413
cell_277	14.755785	9.216388
cell_278	14.170595	11.59698
cell_279	0.19206086	3.9036694
cell_28	14.312615	11.985113
cell_280	-0.2568611	8.00097
cell_281	14.53139	10.790933
cell_282	-2.0029137	9.087766
cell_283	-3.1621218	7.9658422
cell_284	0.8957051	4.4205093
cell_285	13.8684845	11.133419
cell_286	13.487583	10.510953
cell_287	-1.7724352	8.640742
cell_288	13.44514	12.004919
cell_289	-1.1745642	8.162482
cell_29	14.833761	11.474746
cell_290	-1.5417194	8.031669
cell_291	3.9712272	4.073241
cell_292	-0.13495725	6.633686
cell_293	-0.1434398	4.250436
cell_294	-1.7168059	6.8972383
cell_295	-2.44478	8.078975
cell_296	13.741188	10.742169
cell_297	-1.1604236	8.447065
cell_298	-0.90156704	6.4281206
cell_299	14.55782	9.617355
cell_3	0.030522749	5.665664
cell_30	14.268567	9.219042
cell_300	3.838598	4.0752263
cell_301	-2.8151577	8.307361
cell_302	-0.63833356	4.6627183
cell_303	-1.6125314	7.7829747
cell_304	-2.3237584	7.2611
cell_305	12.8743105	10.767258
cell_306	4.1739783	3.9407432
cell_307	-0.314232	6.2350297
cell_308	12.955538	12.214142
cell_309	14.234513	9.525251
cell_31	0.2635923	4.754101
cell_310	0.19530566	5.175135
cell_311	13.797646	10.049172
cell_312	-0.14841601	6.190336
cell_313	-2.9831991	7.8257227
cell_314	13.180838	10.196539
cell_315	-1.9026427	8.946232
cell_316	-0.4568189	6.2734027
cell_317	14.401105	9.124245
cell_318	-2.7834573	7.5330405
cell_319	13.313664	11.55152
cell_32	-0.021594312	4.201764
cell_320	-0.6522127	5.5795417
cell_321	13.443425	10.687707
cell_322	1.1687886	4.542114
cell_323	-2.610011	8.273
cell_324	15.416388	7.898816
cell_325	-0.21718535	4.292141
cell_326	13.974965	10.4943495
cell_327	-1.9109168	8.596093
cell_328	13.5373745	11.065187
cell_329	0.30024195	5.3507032
cell_33	3.1652322	4.5587425
cell_330	-1.6292131	7.8706894
